Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    std                  | 0.289      |
|    value_loss           | 2.11       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 110        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1112       |
|    time_elapsed         | 13928      |
|    total_timesteps      | 2277376    |
| train/                  |            |
|    approx_kl            | 0.08313349 |
|    clip_fraction        | 0.507      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.987     |
|    explained_variance   | 0.884      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.444      |
|    n_updates            | 11110      |
|    policy_gradient_loss | -0.0361    |
|    std                  | 0.288      |
|    value_loss           | 1.62       |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 500       |
|    ep_rew_mean          | 112       |
| time/                   |           |
|    fps                  | 163       |
|    iterations           | 1113      |
|    time_elapsed         | 13940     |
|    total_timesteps      | 2279424   |
| train/                  |           |
|    approx_kl            | 0.0852279 |
|    clip_fraction        | 0.532     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.986    |
|    explained_variance   | 0.915     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.12      |
|    n_updates            | 11120     |
|    policy_gradient_loss | -0.0308   |
|    std                  | 0.288     |
|    value_loss           | 2.14      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 113         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1114        |
|    time_elapsed         | 13953       |
|    total_timesteps      | 2281472     |
| train/                  |             |
|    approx_kl            | 0.080803074 |
|    clip_fraction        | 0.482       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.976      |
|    explained_variance   | 0.881       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.402       |
|    n_updates            | 11130       |
|    policy_gradient_loss | -0.04       |
|    std                  | 0.287       |
|    value_loss           | 3.7         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 112         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1115        |
|    time_elapsed         | 13964       |
|    total_timesteps      | 2283520     |
| train/                  |             |
|    approx_kl            | 0.093774706 |
|    clip_fraction        | 0.508       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.946      |
|    explained_variance   | 0.827       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.279       |
|    n_updates            | 11140       |
|    policy_gradient_loss | -0.033      |
|    std                  | 0.286       |
|    value_loss           | 3.01        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 112        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1116       |
|    time_elapsed         | 13976      |
|    total_timesteps      | 2285568    |
| train/                  |            |
|    approx_kl            | 0.07217795 |
|    clip_fraction        | 0.5        |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.918     |
|    explained_variance   | 0.861      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.281      |
|    n_updates            | 11150      |
|    policy_gradient_loss | -0.0292    |
|    std                  | 0.285      |
|    value_loss           | 2.26       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 113         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1117        |
|    time_elapsed         | 13988       |
|    total_timesteps      | 2287616     |
| train/                  |             |
|    approx_kl            | 0.101700366 |
|    clip_fraction        | 0.501       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.911      |
|    explained_variance   | 0.805       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.53        |
|    n_updates            | 11160       |
|    policy_gradient_loss | -0.0308     |
|    std                  | 0.285       |
|    value_loss           | 2.91        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 111        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1118       |
|    time_elapsed         | 14000      |
|    total_timesteps      | 2289664    |
| train/                  |            |
|    approx_kl            | 0.09639715 |
|    clip_fraction        | 0.53       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.92      |
|    explained_variance   | 0.799      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.76       |
|    n_updates            | 11170      |
|    policy_gradient_loss | -0.0418    |
|    std                  | 0.285      |
|    value_loss           | 2.94       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 110         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1119        |
|    time_elapsed         | 14011       |
|    total_timesteps      | 2291712     |
| train/                  |             |
|    approx_kl            | 0.086006574 |
|    clip_fraction        | 0.516       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.898      |
|    explained_variance   | 0.878       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.285       |
|    n_updates            | 11180       |
|    policy_gradient_loss | -0.0366     |
|    std                  | 0.283       |
|    value_loss           | 2.2         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 111        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1120       |
|    time_elapsed         | 14023      |
|    total_timesteps      | 2293760    |
| train/                  |            |
|    approx_kl            | 0.07789166 |
|    clip_fraction        | 0.499      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.875     |
|    explained_variance   | 0.905      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.214      |
|    n_updates            | 11190      |
|    policy_gradient_loss | -0.0342    |
|    std                  | 0.283      |
|    value_loss           | 1.68       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 112        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1121       |
|    time_elapsed         | 14035      |
|    total_timesteps      | 2295808    |
| train/                  |            |
|    approx_kl            | 0.08718046 |
|    clip_fraction        | 0.499      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.86      |
|    explained_variance   | 0.88       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.204      |
|    n_updates            | 11200      |
|    policy_gradient_loss | -0.0141    |
|    std                  | 0.283      |
|    value_loss           | 1.79       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 112        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1122       |
|    time_elapsed         | 14046      |
|    total_timesteps      | 2297856    |
| train/                  |            |
|    approx_kl            | 0.08577508 |
|    clip_fraction        | 0.51       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.86      |
|    explained_variance   | 0.909      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.64       |
|    n_updates            | 11210      |
|    policy_gradient_loss | -0.0392    |
|    std                  | 0.282      |
|    value_loss           | 1.88       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 112         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1123        |
|    time_elapsed         | 14058       |
|    total_timesteps      | 2299904     |
| train/                  |             |
|    approx_kl            | 0.070189975 |
|    clip_fraction        | 0.501       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.853      |
|    explained_variance   | 0.896       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.559       |
|    n_updates            | 11220       |
|    policy_gradient_loss | -0.034      |
|    std                  | 0.282       |
|    value_loss           | 1.9         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 111        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1124       |
|    time_elapsed         | 14069      |
|    total_timesteps      | 2301952    |
| train/                  |            |
|    approx_kl            | 0.09737429 |
|    clip_fraction        | 0.528      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.838     |
|    explained_variance   | 0.919      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.327      |
|    n_updates            | 11230      |
|    policy_gradient_loss | -0.0321    |
|    std                  | 0.281      |
|    value_loss           | 1.71       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 111         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1125        |
|    time_elapsed         | 14081       |
|    total_timesteps      | 2304000     |
| train/                  |             |
|    approx_kl            | 0.100042745 |
|    clip_fraction        | 0.53        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.847      |
|    explained_variance   | 0.947       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.576       |
|    n_updates            | 11240       |
|    policy_gradient_loss | -0.0368     |
|    std                  | 0.282       |
|    value_loss           | 1.76        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 110        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1126       |
|    time_elapsed         | 14092      |
|    total_timesteps      | 2306048    |
| train/                  |            |
|    approx_kl            | 0.07118705 |
|    clip_fraction        | 0.488      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.828     |
|    explained_variance   | 0.851      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.01       |
|    n_updates            | 11250      |
|    policy_gradient_loss | -0.035     |
|    std                  | 0.281      |
|    value_loss           | 4.3        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 109        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1127       |
|    time_elapsed         | 14104      |
|    total_timesteps      | 2308096    |
| train/                  |            |
|    approx_kl            | 0.21431497 |
|    clip_fraction        | 0.538      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.816     |
|    explained_variance   | 0.931      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.445      |
|    n_updates            | 11260      |
|    policy_gradient_loss | -0.034     |
|    std                  | 0.281      |
|    value_loss           | 1.96       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 109        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1128       |
|    time_elapsed         | 14116      |
|    total_timesteps      | 2310144    |
| train/                  |            |
|    approx_kl            | 0.06448509 |
|    clip_fraction        | 0.469      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.818     |
|    explained_variance   | 0.931      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.479      |
|    n_updates            | 11270      |
|    policy_gradient_loss | -0.0306    |
|    std                  | 0.282      |
|    value_loss           | 3.01       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 110         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1129        |
|    time_elapsed         | 14128       |
|    total_timesteps      | 2312192     |
| train/                  |             |
|    approx_kl            | 0.091261975 |
|    clip_fraction        | 0.515       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.832      |
|    explained_variance   | 0.848       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.174       |
|    n_updates            | 11280       |
|    policy_gradient_loss | -0.0411     |
|    std                  | 0.282       |
|    value_loss           | 2.12        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 500       |
|    ep_rew_mean          | 111       |
| time/                   |           |
|    fps                  | 163       |
|    iterations           | 1130      |
|    time_elapsed         | 14139     |
|    total_timesteps      | 2314240   |
| train/                  |           |
|    approx_kl            | 0.0865175 |
|    clip_fraction        | 0.516     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.818    |
|    explained_variance   | 0.643     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.747     |
|    n_updates            | 11290     |
|    policy_gradient_loss | -0.0248   |
|    std                  | 0.281     |
|    value_loss           | 2.47      |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 111        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1131       |
|    time_elapsed         | 14151      |
|    total_timesteps      | 2316288    |
| train/                  |            |
|    approx_kl            | 0.08216895 |
|    clip_fraction        | 0.506      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.776     |
|    explained_variance   | 0.79       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.324      |
|    n_updates            | 11300      |
|    policy_gradient_loss | -0.0287    |
|    std                  | 0.279      |
|    value_loss           | 2.04       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 110        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1132       |
|    time_elapsed         | 14162      |
|    total_timesteps      | 2318336    |
| train/                  |            |
|    approx_kl            | 0.08387707 |
|    clip_fraction        | 0.509      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.755     |
|    explained_variance   | 0.883      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.02       |
|    n_updates            | 11310      |
|    policy_gradient_loss | -0.0384    |
|    std                  | 0.279      |
|    value_loss           | 2.91       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 110        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1133       |
|    time_elapsed         | 14174      |
|    total_timesteps      | 2320384    |
| train/                  |            |
|    approx_kl            | 0.10100831 |
|    clip_fraction        | 0.521      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.772     |
|    explained_variance   | 0.897      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.6        |
|    n_updates            | 11320      |
|    policy_gradient_loss | -0.0454    |
|    std                  | 0.279      |
|    value_loss           | 1.83       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 110        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1134       |
|    time_elapsed         | 14186      |
|    total_timesteps      | 2322432    |
| train/                  |            |
|    approx_kl            | 0.06661713 |
|    clip_fraction        | 0.477      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.769     |
|    explained_variance   | 0.852      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.32       |
|    n_updates            | 11330      |
|    policy_gradient_loss | -0.0323    |
|    std                  | 0.279      |
|    value_loss           | 3.37       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 111        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1135       |
|    time_elapsed         | 14199      |
|    total_timesteps      | 2324480    |
| train/                  |            |
|    approx_kl            | 0.07001712 |
|    clip_fraction        | 0.481      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.775     |
|    explained_variance   | 0.887      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.357      |
|    n_updates            | 11340      |
|    policy_gradient_loss | -0.0337    |
|    std                  | 0.279      |
|    value_loss           | 2.24       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 111        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1136       |
|    time_elapsed         | 14211      |
|    total_timesteps      | 2326528    |
| train/                  |            |
|    approx_kl            | 0.08864549 |
|    clip_fraction        | 0.517      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.779     |
|    explained_variance   | 0.868      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.904      |
|    n_updates            | 11350      |
|    policy_gradient_loss | -0.0332    |
|    std                  | 0.279      |
|    value_loss           | 2.77       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 111         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1137        |
|    time_elapsed         | 14224       |
|    total_timesteps      | 2328576     |
| train/                  |             |
|    approx_kl            | 0.086005256 |
|    clip_fraction        | 0.488       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.798      |
|    explained_variance   | 0.84        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.79        |
|    n_updates            | 11360       |
|    policy_gradient_loss | -0.029      |
|    std                  | 0.28        |
|    value_loss           | 3.19        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 110         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1138        |
|    time_elapsed         | 14235       |
|    total_timesteps      | 2330624     |
| train/                  |             |
|    approx_kl            | 0.081506446 |
|    clip_fraction        | 0.502       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.798      |
|    explained_variance   | 0.856       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.53        |
|    n_updates            | 11370       |
|    policy_gradient_loss | -0.026      |
|    std                  | 0.279       |
|    value_loss           | 2.15        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 500       |
|    ep_rew_mean          | 109       |
| time/                   |           |
|    fps                  | 163       |
|    iterations           | 1139      |
|    time_elapsed         | 14247     |
|    total_timesteps      | 2332672   |
| train/                  |           |
|    approx_kl            | 0.1012381 |
|    clip_fraction        | 0.542     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.794    |
|    explained_variance   | 0.901     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.231     |
|    n_updates            | 11380     |
|    policy_gradient_loss | -0.0338   |
|    std                  | 0.279     |
|    value_loss           | 1.48      |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 109        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1140       |
|    time_elapsed         | 14258      |
|    total_timesteps      | 2334720    |
| train/                  |            |
|    approx_kl            | 0.08733317 |
|    clip_fraction        | 0.504      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.773     |
|    explained_variance   | 0.902      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.359      |
|    n_updates            | 11390      |
|    policy_gradient_loss | -0.0379    |
|    std                  | 0.278      |
|    value_loss           | 1.33       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 108        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1141       |
|    time_elapsed         | 14270      |
|    total_timesteps      | 2336768    |
| train/                  |            |
|    approx_kl            | 0.08330553 |
|    clip_fraction        | 0.531      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.752     |
|    explained_variance   | 0.881      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.483      |
|    n_updates            | 11400      |
|    policy_gradient_loss | -0.0309    |
|    std                  | 0.278      |
|    value_loss           | 1.87       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 109        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1142       |
|    time_elapsed         | 14283      |
|    total_timesteps      | 2338816    |
| train/                  |            |
|    approx_kl            | 0.08055532 |
|    clip_fraction        | 0.509      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.747     |
|    explained_variance   | 0.863      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.197      |
|    n_updates            | 11410      |
|    policy_gradient_loss | -0.0448    |
|    std                  | 0.277      |
|    value_loss           | 1.44       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 110        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1143       |
|    time_elapsed         | 14294      |
|    total_timesteps      | 2340864    |
| train/                  |            |
|    approx_kl            | 0.08052309 |
|    clip_fraction        | 0.52       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.741     |
|    explained_variance   | 0.904      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.117      |
|    n_updates            | 11420      |
|    policy_gradient_loss | -0.0415    |
|    std                  | 0.277      |
|    value_loss           | 1.19       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 111        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1144       |
|    time_elapsed         | 14306      |
|    total_timesteps      | 2342912    |
| train/                  |            |
|    approx_kl            | 0.06811642 |
|    clip_fraction        | 0.469      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.737     |
|    explained_variance   | 0.89       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.208      |
|    n_updates            | 11430      |
|    policy_gradient_loss | -0.036     |
|    std                  | 0.276      |
|    value_loss           | 2.08       |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 500       |
|    ep_rew_mean          | 108       |
| time/                   |           |
|    fps                  | 163       |
|    iterations           | 1145      |
|    time_elapsed         | 14317     |
|    total_timesteps      | 2344960   |
| train/                  |           |
|    approx_kl            | 0.1104117 |
|    clip_fraction        | 0.527     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.722    |
|    explained_variance   | 0.873     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.9       |
|    n_updates            | 11440     |
|    policy_gradient_loss | -0.0477   |
|    std                  | 0.276     |
|    value_loss           | 1.62      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 108         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1146        |
|    time_elapsed         | 14329       |
|    total_timesteps      | 2347008     |
| train/                  |             |
|    approx_kl            | 0.091838874 |
|    clip_fraction        | 0.508       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.711      |
|    explained_variance   | 0.861       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.169       |
|    n_updates            | 11450       |
|    policy_gradient_loss | -0.0348     |
|    std                  | 0.276       |
|    value_loss           | 1.45        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 500       |
|    ep_rew_mean          | 109       |
| time/                   |           |
|    fps                  | 163       |
|    iterations           | 1147      |
|    time_elapsed         | 14341     |
|    total_timesteps      | 2349056   |
| train/                  |           |
|    approx_kl            | 0.0790971 |
|    clip_fraction        | 0.5       |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.7      |
|    explained_variance   | 0.911     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.302     |
|    n_updates            | 11460     |
|    policy_gradient_loss | -0.0363   |
|    std                  | 0.276     |
|    value_loss           | 1.65      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 110         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1148        |
|    time_elapsed         | 14352       |
|    total_timesteps      | 2351104     |
| train/                  |             |
|    approx_kl            | 0.067771174 |
|    clip_fraction        | 0.492       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.704      |
|    explained_variance   | 0.813       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.293       |
|    n_updates            | 11470       |
|    policy_gradient_loss | -0.0281     |
|    std                  | 0.276       |
|    value_loss           | 2.45        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 109        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1149       |
|    time_elapsed         | 14364      |
|    total_timesteps      | 2353152    |
| train/                  |            |
|    approx_kl            | 0.08650045 |
|    clip_fraction        | 0.493      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.672     |
|    explained_variance   | 0.702      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.42       |
|    n_updates            | 11480      |
|    policy_gradient_loss | -0.0293    |
|    std                  | 0.274      |
|    value_loss           | 4.78       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 110        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1150       |
|    time_elapsed         | 14375      |
|    total_timesteps      | 2355200    |
| train/                  |            |
|    approx_kl            | 0.10879526 |
|    clip_fraction        | 0.53       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.626     |
|    explained_variance   | 0.926      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.35       |
|    n_updates            | 11490      |
|    policy_gradient_loss | -0.0472    |
|    std                  | 0.272      |
|    value_loss           | 1.38       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 110        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1151       |
|    time_elapsed         | 14387      |
|    total_timesteps      | 2357248    |
| train/                  |            |
|    approx_kl            | 0.09507868 |
|    clip_fraction        | 0.505      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.565     |
|    explained_variance   | 0.871      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.488      |
|    n_updates            | 11500      |
|    policy_gradient_loss | -0.0444    |
|    std                  | 0.27       |
|    value_loss           | 1.82       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 111         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1152        |
|    time_elapsed         | 14399       |
|    total_timesteps      | 2359296     |
| train/                  |             |
|    approx_kl            | 0.086232655 |
|    clip_fraction        | 0.508       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.541      |
|    explained_variance   | 0.861       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.33        |
|    n_updates            | 11510       |
|    policy_gradient_loss | -0.0346     |
|    std                  | 0.27        |
|    value_loss           | 2.91        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 110         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1153        |
|    time_elapsed         | 14411       |
|    total_timesteps      | 2361344     |
| train/                  |             |
|    approx_kl            | 0.094833046 |
|    clip_fraction        | 0.484       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.541      |
|    explained_variance   | 0.874       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.485       |
|    n_updates            | 11520       |
|    policy_gradient_loss | -0.0317     |
|    std                  | 0.27        |
|    value_loss           | 3.28        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 111         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1154        |
|    time_elapsed         | 14423       |
|    total_timesteps      | 2363392     |
| train/                  |             |
|    approx_kl            | 0.095152885 |
|    clip_fraction        | 0.493       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.515      |
|    explained_variance   | 0.929       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.24        |
|    n_updates            | 11530       |
|    policy_gradient_loss | -0.0299     |
|    std                  | 0.268       |
|    value_loss           | 2.36        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 111        |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 1155       |
|    time_elapsed         | 14435      |
|    total_timesteps      | 2365440    |
| train/                  |            |
|    approx_kl            | 0.07517603 |
|    clip_fraction        | 0.491      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.508     |
|    explained_variance   | 0.829      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.436      |
|    n_updates            | 11540      |
|    policy_gradient_loss | -0.0369    |
|    std                  | 0.269      |
|    value_loss           | 2.48       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 111         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1156        |
|    time_elapsed         | 14447       |
|    total_timesteps      | 2367488     |
| train/                  |             |
|    approx_kl            | 0.093262754 |
|    clip_fraction        | 0.513       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.507      |
